Element name,Attribute name,Attribute value, Frequency
name,occupation,teacher,1
name,office,minister,3
name,office,minister",1
name,office,visitor,4
name,office,bishop,1
name,occupation,apprentice,8
name,occupation,glover,1
name,occupation,clothier,2
name,office,servant,3
name,occupation,shoemaker,3
name,office,steward",1
name,occupation,clothmaker,1
name,occupation,doctor,2
name,occupation,surgeon,1
name,occupation,steward,1
name,occupation,sailor,1
name,occupation,midshipman,1
name,occupation,usher,1
name,occupation,merchant,1
name,occupation,officer,1
name,occupation,manufacturer,2
name,office,warden,1
name,occupation,tailor,1
name,occupation,shopkeeper,1
name,office,spectator,1
name,office,labourer,1
name,occupation,doctor",1
name,occupation,mason,2
name,occupation,doctor" memoirSubject="no,1
